"2020-11-08 21:13:54 [main] INFO  c.v.d.a.DigtAdminServerApplication - Starting DigtAdminServerApplication on ANNAPURNA with PID 5748 (D:\JavaWorkspaces\WS-MicroServicesProject\Digt-AdminServer\target\classes started by sivam in D:\JavaWorkspaces\WS-MicroServicesProject\Digt-AdminServer)
""2020-11-08 21:13:54 [main] INFO  c.v.d.a.DigtAdminServerApplication - The following profiles are active: dev
""2020-11-08 21:13:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9095 (http)
""2020-11-08 21:13:55 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-11-08 21:13:55 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
""2020-11-08 21:13:56 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-11-08 21:13:56 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1624 ms
""2020-11-08 21:13:56 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2b6c7012, org.springframework.security.web.context.SecurityContextPersistenceFilter@8054fe2, org.springframework.security.web.header.HeaderWriterFilter@2401856, org.springframework.security.web.authentication.logout.LogoutFilter@388c519, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7fbd3e75, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@49cd946c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@48268eec, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e900e1a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@31acfd4e, org.springframework.security.web.session.SessionManagementFilter@2a4f8009, org.springframework.security.web.access.ExceptionTranslationFilter@6af5b246, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5e9bbd9d]
""2020-11-08 21:13:56 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-11-08 21:13:56 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
""2020-11-08 21:13:57 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
""2020-11-08 21:13:57 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9095 (http) with context path ''
""2020-11-08 21:13:57 [main] INFO  c.v.d.a.DigtAdminServerApplication - Started DigtAdminServerApplication in 3.599 seconds (JVM running for 5.071)
""2020-11-08 21:13:57 [main] INFO  c.v.d.a.DigtAdminServerApplication - ******DigtAdminServerApplication Started******
""2020-11-08 21:14:37 [http-nio-9095-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-11-08 21:14:37 [http-nio-9095-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2020-11-08 21:14:37 [http-nio-9095-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 14 ms
""2020-11-08 21:14:38 [http-nio-9095-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [537] milliseconds.
""2020-11-08 21:21:17 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2020-11-08 21:21:17 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
